experiment_name,backend,mpi_ranks,omp_threads,num_qubits,circuit_depth,num_cuts,total_tasks,batch_size,chunk_records,compute_seconds,write_seconds,read_seconds,total_seconds,global_sum,records_written,bytes_written,files_created,tasks_per_second,max_buffer_mb
single_hdf5_mpi1_b4096_c16384_cuts4_t8_rep0,single_hdf5,1,8,28,120,4,599837,4096,16384,0.047078,0.036491,0.019940,0.104412,-0.010880,599837,38389568,1,5744921.636843,0.250000
single_hdf5_mpi1_b4096_c16384_cuts4_t12_rep0,single_hdf5,1,12,28,120,4,599837,4096,16384,0.050471,0.036356,0.020843,0.108546,-0.010880,599837,38389568,1,5526122.288694,0.250000
single_hdf5_mpi1_b4096_c16384_cuts6_t4_rep0,single_hdf5,1,4,28,120,6,9597401,4096,16384,0.715298,0.554923,0.291634,1.575553,-0.015582,9597401,614233664,1,6091450.293830,0.250000
single_hdf5_mpi1_b4096_c16384_cuts6_t8_rep0,single_hdf5,1,8,28,120,6,9597401,4096,16384,0.749620,0.564322,0.289034,1.616723,-0.015582,9597401,614233664,1,5936331.665031,0.250000
single_hdf5_mpi1_b4096_c16384_cuts6_t12_rep0,single_hdf5,1,12,28,120,6,9597401,4096,16384,0.791115,0.565290,0.289062,1.659537,-0.015582,9597401,614233664,1,5783178.939051,0.250000
single_hdf5_mpi1_b4096_c16384_cuts8_t4_rep0,single_hdf5,1,4,28,120,8,50000000,4096,16384,3.753392,2.930344,1.487625,8.242811,0.000027,50000000,3200000000,1,6065891.752214,0.250000
single_hdf5_mpi1_b4096_c16384_cuts8_t8_rep0,single_hdf5,1,8,28,120,8,50000000,4096,16384,3.899639,2.971348,1.493639,8.437281,0.000027,50000000,3200000000,1,5926079.620513,0.250000
single_hdf5_mpi1_b4096_c16384_cuts8_t12_rep0,single_hdf5,1,12,28,120,8,50000000,4096,16384,4.096042,2.977805,1.494404,8.640079,0.000027,50000000,3200000000,1,5786983.958874,0.250000
single_hdf5_mpi1_b4096_c65536_cuts4_t4_rep0,single_hdf5,1,4,28,120,4,599837,4096,65536,0.044322,0.034290,0.016018,0.095512,-0.010880,599837,38389568,1,6280205.198648,0.250000
single_hdf5_mpi1_b4096_c65536_cuts4_t8_rep0,single_hdf5,1,8,28,120,4,599837,4096,65536,0.045955,0.033554,0.016727,0.097127,-0.010880,599837,38389568,1,6175791.663099,0.250000
single_hdf5_mpi1_b4096_c65536_cuts4_t12_rep0,single_hdf5,1,12,28,120,4,599837,4096,65536,0.049069,0.035157,0.016623,0.101778,-0.010880,599837,38389568,1,5893580.083365,0.250000
